fecha,componente,contribucion_pp,inflacion_total
2025-01-01,Alimentos y bebidas,0.19762032039323663,0.35000840201966243
2025-01-01,Bienes y servicios diversos,0.028147150328302947,0.35000840201966243
2025-01-01,Restaurantes y hoteles,0.06104752937655688,0.35000840201966243
2025-01-01,Resto,0.07367275459596832,0.35000840201966243
2025-01-01,Transporte,-0.04759958670139133,0.35000840201966243
2025-01-01,Vivienda,0.037120234026988976,0.35000840201966243
2025-02-01,Alimentos y bebidas,0.06058187947770304,0.315198253322109
2025-02-01,Bienes y servicios diversos,0.04880661385446734,0.315198253322109
2025-02-01,Restaurantes y hoteles,0.03959512318153984,0.315198253322109
2025-02-01,Resto,0.0732241850046668,0.315198253322109
2025-02-01,Transporte,0.07803769739350315,0.315198253322109
2025-02-01,Vivienda,0.014952754410228829,0.315198253322109
2025-03-01,Alimentos y bebidas,0.021145744991027025,0.3210212373099434
2025-03-01,Bienes y servicios diversos,0.040334638276067106,0.3210212373099434
2025-03-01,Restaurantes y hoteles,0.03511000572281211,0.3210212373099434
2025-03-01,Resto,0.0903713394154816,0.3210212373099434
2025-03-01,Transporte,0.10431427661176222,0.3210212373099434
2025-03-01,Vivienda,0.02974523229279338,0.3210212373099434
2025-04-01,Alimentos y bebidas,-0.040260890235803995,0.0226313526908327
2025-04-01,Bienes y servicios diversos,0.04511372438284932,0.0226313526908327
2025-04-01,Restaurantes y hoteles,0.02021484642436672,0.0226313526908327
2025-04-01,Resto,0.025442115619377773,0.0226313526908327
2025-04-01,Transporte,-0.052961759713284706,0.0226313526908327
2025-04-01,Vivienda,0.025083316213327586,0.0226313526908327
2025-05-01,Alimentos y bebidas,-0.036984898032631094,0.07754145658536417
2025-05-01,Bienes y servicios diversos,0.045925137522096114,0.07754145658536417
2025-05-01,Restaurantes y hoteles,0.037586314646821904,0.07754145658536417
2025-05-01,Resto,-0.005274719133894363,0.07754145658536417
2025-05-01,Transporte,0.016727491205371266,0.07754145658536417
2025-05-01,Vivienda,0.01956213037760034,0.07754145658536417
2025-06-01,Alimentos y bebidas,-0.00549886831813563,0.20049949543520104
2025-06-01,Bienes y servicios diversos,0.06643602569296404,0.20049949543520104
2025-06-01,Restaurantes y hoteles,0.0267572874789485,0.20049949543520104
2025-06-01,Resto,0.03884198193811622,0.20049949543520104
2025-06-01,Transporte,0.05007124224325645,0.20049949543520104
2025-06-01,Vivienda,0.02389182640005146,0.20049949543520104
2025-07-01,Alimentos y bebidas,0.1117694552218315,0.3702820995336487
2025-07-01,Bienes y servicios diversos,0.03528330563451702,0.3702820995336487
2025-07-01,Restaurantes y hoteles,0.03722364097970955,0.3702820995336487
2025-07-01,Resto,0.04956598998069674,0.3702820995336487
2025-07-01,Transporte,0.0402256651800799,0.3702820995336487
2025-07-01,Vivienda,0.09621404253681402,0.3702820995336487
2025-08-01,Alimentos y bebidas,0.2947585182289809,0.6895885490670335
2025-08-01,Bienes y servicios diversos,0.038100462812399254,0.6895885490670335
2025-08-01,Restaurantes y hoteles,0.04895238961529659,0.6895885490670335
2025-08-01,Resto,0.15652664898407348,0.6895885490670335
2025-08-01,Transporte,0.13499704355525619,0.6895885490670335
2025-08-01,Vivienda,0.016253485871027026,0.6895885490670335
2025-09-01,Alimentos y bebidas,0.17165009961871225,0.31424893269241283
2025-09-01,Bienes y servicios diversos,0.018550117261281973,0.31424893269241283
2025-09-01,Restaurantes y hoteles,0.05280162861962174,0.31424893269241283
2025-09-01,Resto,0.07800823852570389,0.31424893269241283
2025-09-01,Transporte,-0.02130184891364676,0.31424893269241283
2025-09-01,Vivienda,0.014540697580739741,0.31424893269241283
2025-10-01,Alimentos y bebidas,0.2694876457006422,0.5203948802177897
2025-10-01,Bienes y servicios diversos,0.04513424753439763,0.5203948802177897
2025-10-01,Restaurantes y hoteles,0.05603432222539225,0.5203948802177897
2025-10-01,Resto,0.049632415451598313,0.5203948802177897
2025-10-01,Transporte,0.08927220355662897,0.5203948802177897
2025-10-01,Vivienda,0.010834045749130257,0.5203948802177897
2025-11-01,Alimentos y bebidas,0.4660734910842083,0.6325502497355704
2025-11-01,Bienes y servicios diversos,0.05698165701272354,0.6325502497355704
2025-11-01,Restaurantes y hoteles,0.04440124329053369,0.6325502497355704
2025-11-01,Resto,-0.07155902971803924,0.6325502497355704
2025-11-01,Transporte,0.1258690776355819,0.6325502497355704
2025-11-01,Vivienda,0.010783810430562195,0.6325502497355704
2025-12-01,Alimentos y bebidas,0.3787601469339741,0.796439782633754
2025-12-01,Bienes y servicios diversos,0.13583569963308798,0.796439782633754
2025-12-01,Restaurantes y hoteles,0.08605929017969556,0.796439782633754
2025-12-01,Resto,0.12920594930958623,0.796439782633754
2025-12-01,Transporte,0.048723512340426246,0.796439782633754
2025-12-01,Vivienda,0.01785518423698389,0.796439782633754
2026-01-01,Alimentos y bebidas,0.16187682724429084,0.3706976698428082
2026-01-01,Bienes y servicios diversos,0.035283229058939,0.3706976698428082
2026-01-01,Restaurantes y hoteles,0.09778827227888368,0.3706976698428082
