fecha,producto,inflacion_interanual,compra,dolar_interanual
2021-09-01,Carnes,12.472746474075102,56.5349,NA
2021-10-01,Carnes,24.592392678800866,56.2688,NA
2021-11-01,Carnes,19.240776207856047,56.4591,NA
2021-12-01,Carnes,18.30488207526122,56.8245,NA
2022-01-01,Carnes,9.335168451917909,57.524,NA
2022-02-01,Carnes,12.891064501502969,56.3803,NA
2022-03-01,Carnes,14.599874765184717,54.8247,NA
2022-04-01,Carnes,16.83741462602033,54.9475,NA
2022-05-01,Carnes,17.05582582408962,55.0592,NA
2022-06-01,Carnes,16.7462301427304,54.733,NA
2022-07-01,Carnes,14.417579280429482,54.4699,NA
2022-08-01,Carnes,7.371323669436847,53.5684,NA
2022-09-01,Carnes,6.534101665139591,53.1725,-5.947476691388864
2022-10-01,Carnes,5.27991168642632,53.6738,-4.611791969972701
2022-11-01,Carnes,5.83150238654444,54.206,-3.9906764365708947
2022-12-01,Carnes,7.54435191889935,55.2363,-2.7949212047620353
2023-01-01,Carnes,0.3020496962399477,56.3664,-2.0123774424588015
2023-02-01,Carnes,8.953447724449815,55.8418,-0.9551208489490093
2023-03-01,Carnes,6.516005886552723,54.7709,-0.09813095192495735
2023-04-01,Carnes,3.962217073605423,54.5299,-0.7599981800809896
2023-05-01,Carnes,1.1444860749490138,54.3775,-1.2381218760897372
2023-06-01,Carnes,-0.8647782451632335,54.7738,0.07454369393236071
2023-07-01,Carnes,0.3473704638075059,55.7369,2.326055307610253
2023-08-01,Carnes,4.424430318681005,56.4882,5.450601474003336
2023-09-01,Carnes,4.7648731253109755,56.6217,6.486811791809677
2023-10-01,Carnes,4.656669467606056,56.6767,5.594722192205492
2023-11-01,Carnes,3.2292196124191763,56.708,4.615725196472709
2023-12-01,Carnes,1.6602841953176517,57.2327,3.6142898782141497
2024-02-01,Carnes,-0.05122451137203887,58.5124,3.807232677623551
2024-03-01,Carnes,-0.08341923284341801,58.8773,5.435892109495044
2024-04-01,Carnes,-0.6895065865969774,58.7895,7.337107843763757
2024-05-01,Carnes,-2.3284853222521718,58.3908,7.080335742409205
2024-06-01,Carnes,0.9030660295092252,58.9869,8.476667739414289
2024-07-01,Carnes,3.5085873541194745,58.9809,7.68086201797209
2024-08-01,Carnes,3.57819721905277,59.4609,6.681390604787851
2024-09-01,Carnes,2.1981418890228754,59.8079,5.876802588859253
2024-10-01,Carnes,0.14702120918330674,59.9901,5.948955965645686
