grupo,contribucion_pp,label_x,label_hjust
Transporte,0.18914475049962026,0.19414475049962027,0
Alimentos y Bebidas No Alcohólicas,0.09659599407680726,0.10159599407680726,0
Bienes y Servicios Diversos,0.08782154031652763,0.09282154031652763,0
Restaurantes y Hoteles,0.057467130140301186,0.06246713014030118,0
Muebles y Artículos para el Hogar,0.0274035112794702,0.0324035112794702,0
Resto de grupos,0.022832526696143617,0.027832526696143618,0
Ajuste de enlace,0.028734546991129872,0.03373454699112987,0
