fecha,transables_interanual,dolar_interanual
2024-01-01,2.123405531699918,3.8629396236055547
2024-02-01,2.104997276795939,4.782438961494795
2024-03-01,1.8907629131987624,7.497411946854982
2024-04-01,1.287270957308162,7.81149424444203
2024-05-01,1.5716943647315018,7.380442278515931
2024-06-01,1.9547407845456277,7.6918161602810065
2024-07-01,1.9093470449291328,5.820201697618632
2024-08-01,1.6440108297688827,5.2625150031333945
2024-09-01,1.431725012798557,5.627171208211701
2024-10-01,1.5165883413681192,5.846141359676915
2024-11-01,1.872231345625397,5.95277562248715
2024-12-01,2.103179646788589,5.819050997069852
2025-01-01,2.170073605965772,4.641140479435912
2025-02-01,2.6621921862027165,5.932588647876336
2025-03-01,2.835513795006994,6.513206278141159
2025-04-01,3.1598765130675943,2.7658000153088613
2025-05-01,3.1390680981328467,0.5922165820642977
2025-06-01,2.8296859883019776,0.05085874999364304
2025-07-01,2.8507759747940176,2.0572761690649033
2025-08-01,3.3134501709490394,3.7680223474585883
2025-09-01,3.5103528329035294,4.394402746125525
2025-10-01,4.094345666410737,5.418727423358183
2025-11-01,5.104384588396882,5.492504622717953
2025-12-01,5.2605372418347285,4.1642518299096265
2026-01-01,4.669037573655843,3.020686930815586
2026-02-01,4.06635567151985,-0.5990284542549018
2026-03-01,4.175184936870324,-4.493231768669837
2026-04-01,5.171588608094235,-1.2839420347427355
2026-05-01,6.033553102416511,0.10351297146924399
