codigo,producto,anio,mes,fecha,indice,peso_item,variacion_mensual,contribucion_pp,inflacion_total
0112201,Pollo fresco,2025,1,2025-01-01,150.4454,2.32990649,2.684414424990633,0.06254434590635294,0.35000840201966243
0112201,Pollo fresco,2025,2,2025-02-01,150.6026,2.32990649,0.10448973514642912,0.0024345131205604628,0.315198253322109
0112201,Pollo fresco,2025,3,2025-03-01,147.5046,2.32990649,-2.057069399864264,-0.04792779345124154,0.3210212373099434
0112201,Pollo fresco,2025,4,2025-04-01,144.4,2.32990649,-2.104747919725891,-0.049038658379833525,0.0226313526908327
0112201,Pollo fresco,2025,5,2025-05-01,143.5408,2.32990649,-0.5950138504155267,-0.013863266317230248,0.07754145658536417
0112201,Pollo fresco,2025,6,2025-06-01,147.5461,2.32990649,2.7903564700767935,0.06501269649045412,0.20049949543520104
0112201,Pollo fresco,2025,7,2025-07-01,151.5314,2.32990649,2.701054111223544,0.06293203503580917,0.3702820995336487
0112201,Pollo fresco,2025,8,2025-08-01,158.8465,2.32990649,4.827448304443838,0.11247503134663193,0.6895885490670335
0112201,Pollo fresco,2025,9,2025-09-01,157.5603,2.32990649,-0.8097125212075729,-0.018865544581957865,0.31424893269241283
0112201,Pollo fresco,2025,10,2025-10-01,156.2378,2.32990649,-0.8393611842577253,-0.0195563307065616,0.5203948802177897
0112201,Pollo fresco,2025,11,2025-11-01,155.3458,2.32990649,-0.5709245777910321,-0.013302008790958355,0.6325502497355704
0112201,Pollo fresco,2025,12,2025-12-01,162.3898,2.32990649,4.534400028838892,0.10564728055447921,0.796439782633754
0112201,Pollo fresco,2026,1,2026-01-01,174.9081,2.32990649,7.7087969810911705,0.17960776116336724,0.3706976698428082
0112201,Pollo fresco,2026,2,2026-02-01,171.6841,2.32990649,-1.8432536857927007,-0.04294608725244834,0.03766846101055529
0112201,Pollo fresco,2026,3,2026-03-01,168.0338,2.32990649,-2.1261724294794893,-0.049537829423033294,0.26456794070781864
0112201,Pollo fresco,2026,4,2026-04-01,162.0679,2.32990649,-3.5504166423660055,-0.08272138777252565,0.4794483122789184
0112201,Pollo fresco,2026,5,2026-05-01,151.3665,2.32990649,-6.603034900803928,-0.15384453869079578,0.2938861692074961
0112201,Pollo fresco,2026,6,2026-06-01,155.9849,2.32990649,3.0511374709727868,0.07108864995501682,0.48126545300887014
0112203,Pechuga de pollo,2025,1,2025-01-01,142.048,0.066972124,0.44719253038560947,2.9949433596858805e-4,0.35000840201966243
0112203,Pechuga de pollo,2025,2,2025-02-01,141.6736,0.066972124,-0.26357287677405417,-1.7652035386348674e-4,0.315198253322109
0112203,Pechuga de pollo,2025,3,2025-03-01,141.4764,0.066972124,-0.13919318772162015,-9.322063428047622e-5,0.3210212373099434
0112203,Pechuga de pollo,2025,4,2025-04-01,140.3947,0.066972124,-0.7645798168457896,-5.12055343016935e-4,0.0226313526908327
0112203,Pechuga de pollo,2025,5,2025-05-01,139.9929,0.066972124,-0.28619313976953054,-1.916696244459433e-4,0.07754145658536417
0112203,Pechuga de pollo,2025,6,2025-06-01,141.3341,0.066972124,0.9580485867497712,6.416254874983044e-4,0.20049949543520104
0112203,Pechuga de pollo,2025,7,2025-07-01,142.3716,0.066972124,0.7340762066620821,4.916264273802258e-4,0.3702820995336487
0112203,Pechuga de pollo,2025,8,2025-08-01,144.5048,0.066972124,1.4983325326118235,0.0010034651216731308,0.6895885490670335
0112203,Pechuga de pollo,2025,9,2025-09-01,144.9683,0.066972124,0.3207505909838426,2.148134835244319e-4,0.31424893269241283
0112203,Pechuga de pollo,2025,10,2025-10-01,144.56,0.066972124,-0.28164778092865106,-1.8862550108678452e-4,0.5203948802177897
0112203,Pechuga de pollo,2025,11,2025-11-01,144.4794,0.066972124,-0.055755395683454445,-3.7340572733813756e-5,0.6325502497355704
0112203,Pechuga de pollo,2025,12,2025-12-01,147.0856,0.066972124,1.8038557745948536,0.0012080805261428258,0.796439782633754
0112203,Pechuga de pollo,2026,1,2026-01-01,154.2109,0.066972124,4.844321945860108,0.0032443453005406445,0.3706976698428082
0112203,Pechuga de pollo,2026,2,2026-02-01,153.8634,0.066972124,-0.22534075088077588,-1.509154871024043e-4,0.03766846101055529
0112203,Pechuga de pollo,2026,3,2026-03-01,152.9425,0.066972124,-0.598517906142737,-4.0084015426411745e-4,0.26456794070781864
0112203,Pechuga de pollo,2026,4,2026-04-01,150.4571,0.066972124,-1.6250551677918113,-0.00108833396204194,0.4794483122789184
0112203,Pechuga de pollo,2026,5,2026-05-01,147.0533,0.066972124,-2.2623059995174666,-0.0015151143792562771,0.2938861692074961
0112203,Pechuga de pollo,2026,6,2026-06-01,148.9195,0.066972124,1.2690636660313004,8.499188920534284e-4,0.48126545300887014
