fecha,inflacion_general,subyacente_mensual
2024-01-01,0.38976460747621733,0.4666467734089741
2024-02-01,0.09056572866821266,0.27976170617209917
2024-03-01,0.29757361839135577,0.3710823546404729
2024-04-01,-0.0980601351817767,0.2698651644334138
2024-05-01,-0.03855582899744414,0.19923370411820684
2024-06-01,0.47855948253987535,0.3464166994575635
2024-07-01,0.5278798260310857,0.26911985937765337
2024-08-01,0.4036300260298553,0.4533007460108207
2024-09-01,0.29689679718609696,0.3368491113425298
2024-10-01,0.09282899848168658,0.21677670808857297
2024-11-01,0.15755492046638508,0.2081527139424333
2024-12-01,0.7027204417540123,0.5258982778727717
2025-01-01,0.36596747295787324,0.4815688123870121
2025-02-01,0.32316974643371577,0.45477762907073505
2025-03-01,0.3136956369791388,0.3986011971273351
2025-04-01,0.02506867377629618,0.16496556431095932
2025-05-01,0.08472753925179433,0.2885820763197877
2025-06-01,0.20645729420656345,0.27786913977150274
2025-07-01,0.37718413471121703,0.30227600124113074
2025-08-01,0.70828582345277,0.5810066329479779
2025-09-01,0.33742480199256963,0.36747085418085135
2025-10-01,0.5519236194280186,0.518810788040347
2025-11-01,0.7145617211662181,0.280873802712045
2025-12-01,0.838189821623736,0.6307051813475351
2026-01-01,0.3964415742498728,0.5210566558222718
2026-02-01,0.025410303805606382,0.3302830560839798
2026-03-01,0.27225667467973835,0.2284822357663252
2026-04-01,0.4888906583085939,0.4342686622063052
2026-05-01,0.30542071343107047,0.2841995673137365
2026-06-01,0.5116018869808059,0.37
