PROV,TOPONIMIA,provincia,energia_suministrada_gwh,perdida_gwh,perdida_pct,corte,fuente_pdf,definicion_perdida,componentes
21,SAN CRISTÓBAL,San Cristobal,1127.72,468.91,41.58035682616252,may 2025 - abr 2026,mem_gestion-comercial_2026_Informe_Gestion_Comercial_EDE_abril_2026.pdf,Energia suministrada menos energia facturada; perdida total reportada,El informe no desagrega perdidas tecnicas y no tecnicas
22,SAN JUAN,San Juan,218.51,52.19,23.88449041233811,may 2025 - abr 2026,mem_gestion-comercial_2026_Informe_Gestion_Comercial_EDE_abril_2026.pdf,Energia suministrada menos energia facturada; perdida total reportada,El informe no desagrega perdidas tecnicas y no tecnicas
23,SAN PEDRO DE MACORÍS,San Pedro de Macoris,733.2,431.52,58.85433715220949,may 2025 - abr 2026,mem_gestion-comercial_2026_Informe_Gestion_Comercial_EDE_abril_2026.pdf,Energia suministrada menos energia facturada; perdida total reportada,El informe no desagrega perdidas tecnicas y no tecnicas
24,SANCHEZ RAMÍREZ,Sanchez Ramirez,208,89.69,43.12019230769231,may 2025 - abr 2026,mem_gestion-comercial_2026_Informe_Gestion_Comercial_EDE_abril_2026.pdf,Energia suministrada menos energia facturada; perdida total reportada,El informe no desagrega perdidas tecnicas y no tecnicas
25,SANTIAGO,Santiago,2033.8,400.87,19.710394335726228,may 2025 - abr 2026,mem_gestion-comercial_2026_Informe_Gestion_Comercial_EDE_abril_2026.pdf,Energia suministrada menos energia facturada; perdida total reportada,El informe no desagrega perdidas tecnicas y no tecnicas
26,SANTIAGO RODRÍGUEZ,Santiago Rodriguez,139.9,10.94,7.819871336669049,may 2025 - abr 2026,mem_gestion-comercial_2026_Informe_Gestion_Comercial_EDE_abril_2026.pdf,Energia suministrada menos energia facturada; perdida total reportada,El informe no desagrega perdidas tecnicas y no tecnicas
27,VALVERDE,Valverde,247.6,52.43,21.175282714054926,may 2025 - abr 2026,mem_gestion-comercial_2026_Informe_Gestion_Comercial_EDE_abril_2026.pdf,Energia suministrada menos energia facturada; perdida total reportada,El informe no desagrega perdidas tecnicas y no tecnicas
28,MONSEÑOR NOUEL,Monseñor Nouel,365.7,177.25,48.468690183210285,may 2025 - abr 2026,mem_gestion-comercial_2026_Informe_Gestion_Comercial_EDE_abril_2026.pdf,Energia suministrada menos energia facturada; perdida total reportada,El informe no desagrega perdidas tecnicas y no tecnicas
29,MONTE PLATA,Monte Plata,368.8,252.33,68.41919739696313,may 2025 - abr 2026,mem_gestion-comercial_2026_Informe_Gestion_Comercial_EDE_abril_2026.pdf,Energia suministrada menos energia facturada; perdida total reportada,El informe no desagrega perdidas tecnicas y no tecnicas
30,HATO MAYOR,Hato Mayor,139.9,74.14,52.99499642601858,may 2025 - abr 2026,mem_gestion-comercial_2026_Informe_Gestion_Comercial_EDE_abril_2026.pdf,Energia suministrada menos energia facturada; perdida total reportada,El informe no desagrega perdidas tecnicas y no tecnicas
31,SAN JOSÉ DE OCOA,San Jose de Ocoa,48.96,15.04,30.718954248366014,may 2025 - abr 2026,mem_gestion-comercial_2026_Informe_Gestion_Comercial_EDE_abril_2026.pdf,Energia suministrada menos energia facturada; perdida total reportada,El informe no desagrega perdidas tecnicas y no tecnicas
32,SANTO DOMINGO,Santo Domingo,5719.5599999999995,2851.3199999999997,49.85208652413822,may 2025 - abr 2026,mem_gestion-comercial_2026_Informe_Gestion_Comercial_EDE_abril_2026.pdf,Energia suministrada menos energia facturada; perdida total reportada,El informe no desagrega perdidas tecnicas y no tecnicas
