problema,grupo,tasa,n_ponderado
Intereses,MEDIANA / Formal,15.87071076205515,2367.228603371173
Intereses,MICRO / Formal,10.092384901517498,67410.77191727706
Intereses,MICRO / Informal,9.80536765410564,178170.482864466
Intereses,PEQUEÑA / Formal,7.996103138454746,9331.311921375696
Intereses,PEQUEÑA / Informal,5.592216336932735,269.091749396413
No Darian,MEDIANA / Formal,2.042531638896101,2367.228603371173
No Darian,MICRO / Formal,9.276094872685924,67410.77191727706
No Darian,MICRO / Informal,11.63013797425514,178170.482864466
No Darian,PEQUEÑA / Formal,8.862221058894223,9331.311921375696
No Darian,PEQUEÑA / Informal,7.5807117868990606,269.091749396413
No Gusta,MEDIANA / Formal,8.413727494755047,2367.228603371173
No Gusta,MICRO / Formal,10.604830618928563,67410.77191727706
No Gusta,MICRO / Informal,14.238918868637422,178170.482864466
No Gusta,PEQUEÑA / Formal,11.045960049811379,9331.311921375696
No Gusta,PEQUEÑA / Informal,6.1496470286446066,269.091749396413
No Necesita,MEDIANA / Formal,76.22920350778082,2367.228603371173
No Necesita,MICRO / Formal,62.06493871296237,67410.77191727706
No Necesita,MICRO / Informal,61.08853533133782,178170.482864466
No Necesita,PEQUEÑA / Formal,70.36823392357675,9331.311921375696
No Necesita,PEQUEÑA / Informal,63.892000221016495,269.091749396413
No Pagaria,MEDIANA / Formal,4.49471864347114,2367.228603371173
No Pagaria,MICRO / Formal,8.647810453630916,67410.77191727706
No Pagaria,MICRO / Informal,10.62309717323494,178170.482864466
No Pagaria,PEQUEÑA / Formal,7.356383497282184,9331.311921375696
No Pagaria,PEQUEÑA / Informal,7.5807117868990606,269.091749396413
Otras,MEDIANA / Formal,9.258325389653043,2367.228603371173
Otras,MICRO / Formal,8.57736801958301,67410.77191727706
Otras,MICRO / Informal,6.928914568662485,178170.482864466
Otras,PEQUEÑA / Formal,8.071983446444786,9331.311921375696
Otras,PEQUEÑA / Informal,27.96985730037258,269.091749396413
Solicitado,MEDIANA / Formal,8.492249651657533,2367.228603371173
Solicitado,MICRO / Formal,7.571879336491811,67410.77191727706
Solicitado,MICRO / Informal,9.965829005475795,178170.482864466
Solicitado,PEQUEÑA / Formal,4.744657099803452,9331.311921375696
Solicitado,PEQUEÑA / Informal,0,269.091749396413
Tramites,MEDIANA / Formal,13.44616068795554,2367.228603371173
Tramites,MICRO / Formal,7.940609294535133,67410.77191727706
Tramites,MICRO / Informal,10.71043329916019,178170.482864466
Tramites,PEQUEÑA / Formal,7.314116654395083,9331.311921375696
Tramites,PEQUEÑA / Informal,5.592216336932735,269.091749396413
