"id","file","source"
"demografia-01","01-proyeccion-poblacion-por-region.png","ONE, proyecciones 2000–2030 y ENHOGAR 2022/2024"
"demografia-02","02-participacion-region-metropolitana.png","ONE, proyecciones 2000–2030 y ENHOGAR 2022/2024"
"demografia-03","03-poblacion-por-sexo-proyeccion.png","ONE, proyecciones 2000–2030 y ENHOGAR 2022/2024"
"demografia-04","04-estructura-edades-enhogar.png","ONE, proyecciones 2000–2030 y ENHOGAR 2022/2024"
"demografia-05","05-crecimiento-proyectado-por-provincia.png","ONE, proyecciones 2000–2030 y ENHOGAR 2022/2024"
