anio,fuente,institucion,instrumento,principal,intereses,comisiones
2023,Interna,RSPNF,Otros Instrumentos Internos,0,0,0
2023,Interna,RSPNF,Banca Doméstica,207.83,17.66,0
2023,Interna,GC,Bonos Domésticos,1308.61,1610.36,1.06
2023,Interna,GC,Banca Doméstica,16.56,3.41,0
2023,Externa,GC,Organismos Multilaterales,518.76,413.89,9.73
2023,Externa,GC,Bonos Soberanos,1438.67,1756.81,4.24
2023,Externa,GC,Bilaterales,164.9,61.42,2.68
2023,Externa,GC,Banca Comercial,0,0,0
2024,Interna,RSPNF,Otros Instrumentos Internos,0,0,0
2024,Interna,RSPNF,Banca Doméstica,131.74,10.47,0
2024,Interna,GC,Bonos Domésticos,392.2,1751.89,1.07
2024,Interna,GC,Banca Doméstica,30,2.05,0
2024,Externa,GC,Organismos Multilaterales,874.55,496.25,10.16
2024,Externa,GC,Bonos Soberanos,1063.97,2005.95,2.99
2024,Externa,GC,Bilaterales,129.89,71.47,1.72
2024,Externa,GC,Banca Comercial,0,0,0
