region,desocupacion_abierta,subutilizacion_amplia
Total País,5.03377219319397,10.8795136506298
Ozama o Metropolitana,6.3215455126627,13.7036229780726
Norte o Cibao,4.27094999070979,6.51731456181918
Sur,3.39938023604861,14.0018614537608
Este,4.98191495914273,9.34826986360912
