anio,mes,real_vs_nominal
2010,1,100
2010,2,100.0869485281759
2010,3,99.52233948211345
2010,4,99.50819008002794
2010,5,99.92325292363289
2010,6,100.17142564566835
2010,7,100.01727451802866
2010,8,100.06117616047624
2010,9,99.54281265529944
2010,10,99.46691059564552
2010,11,99.18530064928508
2010,12,98.5320871444604
2011,1,97.67833681657251
2011,2,96.9848429811784
2011,3,96.22188309138727
2011,4,95.57152293086246
2011,5,95.50230558603079
2011,6,94.89522077715144
2011,7,94.11932813093225
2011,8,93.69746569604469
2011,9,93.70160348815824
2011,10,94.05580806260247
2011,11,94.31563629405507
2011,12,94.46962904061182
2012,1,94.81830169059793
2012,2,94.69119587128654
2012,3,94.6778376464528
2012,4,94.72539439145288
2012,5,94.98979014215959
2012,6,94.89376873961918
2012,7,95.12350921600299
2012,8,94.24153950975696
2012,9,93.8594298143998
2012,10,94.17304061803958
2012,11,94.78419796209045
2012,12,94.74579654480259
2013,1,94.51125047801332
2013,2,94.58967242349809
2013,3,94.81029785696904
2013,4,95.01085753310976
2013,5,95.28392160039647
2013,6,96.10273246895784
2013,7,96.53286291944298
2013,8,96.9605435853472
2013,9,97.0418363392722
2013,10,96.77752240236298
2013,11,96.76919999776305
2013,12,96.73795323296008
2014,1,97.10062785962539
2014,2,97.27136696693032
2014,3,96.83122673035238
2014,4,96.40960853817454
2014,5,96.53519361534362
2014,6,96.94100660725537
2014,7,96.82864880782861
2014,8,96.50589429932788
2014,9,96.66937425500655
2014,10,97.08970016899715
2014,11,97.71607674176836
2014,12,98.67075635554129
2015,1,99.56872290608575
2015,2,100.00681065350659
2015,3,99.65783624480294
2015,4,99.9996939463631
2015,5,99.85550509005202
2015,6,99.56793781080057
2015,7,99.60355981489289
2015,8,99.46157335509608
2015,9,99.49766613383231
2015,10,99.03048877050531
2015,11,99.09082940687745
2015,12,99.23983779530018
2016,1,99.43676076529034
2016,2,100.30030584553403
2016,3,100.42441711673185
2016,4,100.63292238256703
2016,5,100.47716548079451
2016,6,99.99698539400383
2016,7,99.9387112358313
2016,8,100.03253297496404
2016,9,100.29199150256778
2016,10,100.56091862826898
2016,11,100.74310955574083
2016,12,100.04832083358524
2017,1,99.65021379142874
2017,2,99.9449931475075
2017,3,100.55626386850493
2017,4,100.43720365353609
2017,5,100.69811777984278
2017,6,100.79678357178071
2017,7,100.67970353526022
2017,8,100.18571375868409
2017,9,99.8534452902274
2017,10,100.08996446062284
2017,11,99.62747374693541
2017,12,99.1603512312376
2018,1,99.32916751614097
2018,2,100.27990967060296
2018,3,100.65892784513802
2018,4,100.61856143496897
2018,5,100.40509007120913
2018,6,100.21682775480333
2018,7,100.57570349471051
2018,8,100.8673782252972
2018,9,100.99548793760722
2018,10,101.07346515093934
2018,11,101.7716087196456
2018,12,102.15581331207967
2019,1,102.62086223502715
2019,2,102.45980810922046
2019,3,101.8759282759887
2019,4,101.37628753753397
2019,5,101.42865311615942
2019,6,101.91063874204924
2019,7,101.8409065325178
2019,9,102.54323165570801
2019,10,104.00299346622957
2019,11,103.90432240790788
2019,12,103.84864900394781
2020,1,103.90071382159624
2020,2,104.52006507620214
2020,3,105.78963908961587
2020,4,107.58677032583778
2020,5,110.0758583768302
2020,6,113.21540118773532
2020,7,111.91608820832604
2020,8,111.22018807511739
2020,9,110.53182920022797
2020,10,109.7893749189711
2020,11,109.04961508896447
2020,12,108.13044029914366
2021,1,107.08048489873968
2021,2,105.94062364342902
2021,3,104.08926219069377
2021,4,102.97406324085254
2021,5,102.30197147670953
2021,6,101.8127426833477
2021,7,101.41768951576263
2021,8,100.55812969818714
2021,9,99.41224628283284
2021,10,98.31372046606259
2021,11,97.59172941552474
2021,12,97.51482299098797
2022,1,97.56183384988574
2022,2,94.74903134339559
2022,3,91.52309766297132
2022,4,90.85954265152124
2022,5,90.59874453926263
2022,6,89.48999644859677
2022,7,88.61924771656345
2022,8,86.97056596912945
2022,9,86.07472495388026
2022,10,86.64447925001527
2022,11,87.0977859133195
2022,12,87.90881158449662
2023,1,89.14169517780348
2023,2,88.21730976381846
2023,3,86.33991886688312
2023,4,85.7510220127733
2023,5,85.68050806571848
2023,6,86.11575538783421
2023,7,87.23381236095341
2023,8,87.95653299997628
2023,9,87.78661193247973
2023,10,87.68150552001771
2023,11,87.61012780146629
2023,12,87.94735651836848
2025,1,90.75515191269277
2025,2,91.5301484846494
2025,3,92.31617108165786
2025,4,88.91314152016511
2025,5,86.36913566834072
2025,6,86.60250514777313
2025,7,87.99832824152679
2025,8,89.567173178694
2025,9,90.32888854498955
2025,10,90.99088115684835
2025,11,90.54959684012428
2025,12,89.37375466087951
2026,1,89.05795158150838
2026,2,86.92059133554103
2026,3,84.26733327883657
2026,4,83.5010397664718
2026,5,82.07094296632901
