actividad,indice_volumen_2024,crecimiento_2025,incidencia_2025,lado
Agropecuario,118.33830080554621,3.6775719122747574,0.1883753590024615,Aporta
Industrias,121.16515271140912,0.05387034087401332,0.014536788295506808,Aporta
Construcción,127.72904893016349,-1.7962555805250275,-0.2351439471330124,Resta
Servicios,124.54087999178115,2.841177970898798,1.6581088342571293,Aporta
