location,level,year,total,male,female
Barahona,provincia,2006,183926.0,94901.0,89025.0
Barahona,provincia,2007,184902.0,95427.0,89475.0
Barahona,provincia,2008,185932.0,95980.0,89952.0
Barahona,provincia,2009,186864.0,96482.0,90382.0
Barahona,provincia,2010,187755.0,96963.0,90792.0
Barahona,provincia,2011,187972.0,97100.0,90872.0
Barahona,provincia,2012,188169.0,97227.0,90942.0
Barahona,provincia,2013,188426.0,97384.0,91042.0
Barahona,provincia,2014,188584.0,97488.0,91096.0
Barahona,provincia,2015,188706.0,97575.0,91131.0
Barahona,provincia,2016,188820.0,97639.0,91181.0
Barahona,provincia,2017,188929.0,97699.0,91230.0
Barahona,provincia,2018,189080.0,97783.0,91297.0
Barahona,provincia,2019,189149.0,97820.0,91329.0
Barahona,provincia,2020,189177.0,97839.0,91338.0
Barahona,provincia,2021,189100.0,97799.0,91301.0
Barahona,provincia,2022,189012.0,97752.0,91260.0
Barahona,provincia,2023,188970.0,97728.0,91242.0
Barahona,provincia,2024,188850.0,97663.0,91187.0
Barahona,provincia,2025,188694.0,97580.0,91114.0
Barahona,provincia,2026,188370.0,97403.0,90967.0
Barahona,provincia,2027,188035.0,97223.0,90812.0
Barahona,provincia,2028,187745.0,97061.0,90684.0
Barahona,provincia,2029,187378.0,96860.0,90518.0
Barahona,provincia,2030,186978.0,96642.0,90336.0
Independencia,provincia,2000,49869.0,25955.0,23914.0
Independencia,provincia,2001,50229.0,26102.0,24127.0
Independencia,provincia,2002,50579.0,26246.0,24333.0
Independencia,provincia,2003,50949.0,26398.0,24551.0
Independencia,provincia,2004,51298.0,26540.0,24758.0
Independencia,provincia,2005,51651.0,26683.0,24968.0
Independencia,provincia,2006,51883.0,26761.0,25122.0
Independencia,provincia,2007,52109.0,26837.0,25272.0
Independencia,provincia,2008,52356.0,26922.0,25434.0
Independencia,provincia,2009,52572.0,26992.0,25580.0
Independencia,provincia,2010,52773.0,27053.0,25720.0
Independencia,provincia,2011,53353.0,27351.0,26002.0
Independencia,provincia,2012,53930.0,27647.0,26283.0
Independencia,provincia,2013,54521.0,27948.0,26573.0
Independencia,provincia,2014,55083.0,28237.0,26846.0
Independencia,provincia,2015,55638.0,28521.0,27117.0
Independencia,provincia,2016,56203.0,28806.0,27397.0
Independencia,provincia,2017,56763.0,29087.0,27676.0
Independencia,provincia,2018,57339.0,29375.0,27964.0
Independencia,provincia,2019,57883.0,29649.0,28234.0
Independencia,provincia,2020,58424.0,29921.0,28503.0
Independencia,provincia,2021,58951.0,30183.0,28768.0
Independencia,provincia,2022,59472.0,30442.0,29030.0
Independencia,provincia,2023,60010.0,30709.0,29301.0
Independencia,provincia,2024,60527.0,30967.0,29560.0
Independencia,provincia,2025,61024.0,31213.0,29811.0
Independencia,provincia,2026,61507.0,31451.0,30056.0
Independencia,provincia,2027,61988.0,31686.0,30302.0
Independencia,provincia,2028,62479.0,31926.0,30553.0
Independencia,provincia,2029,62948.0,32156.0,30792.0
Independencia,provincia,2030,63408.0,32380.0,31028.0
Pedernales,provincia,2000,20804.0,10939.0,9865.0
Pedernales,provincia,2001,21817.0,11492.0,10325.0
Pedernales,provincia,2002,22865.0,12067.0,10798.0
Pedernales,provincia,2003,23883.0,12625.0,11258.0
Pedernales,provincia,2004,24891.0,13174.0,11717.0
Pedernales,provincia,2005,25855.0,13700.0,12155.0
Pedernales,provincia,2006,27029.0,14347.0,12682.0
Pedernales,provincia,2007,28193.0,14990.0,13203.0
Pedernales,provincia,2008,29377.0,15646.0,13731.0
Pedernales,provincia,2009,30539.0,16286.0,14253.0
Pedernales,provincia,2010,31695.0,16924.0,14771.0
Pedernales,provincia,2011,32047.0,17112.0,14935.0
Pedernales,provincia,2012,32396.0,17299.0,15097.0
Pedernales,provincia,2013,32754.0,17490.0,15264.0
Pedernales,provincia,2014,33102.0,17676.0,15426.0
Pedernales,provincia,2015,33439.0,17855.0,15584.0
Pedernales,provincia,2016,33755.0,18020.0,15735.0
Pedernales,provincia,2017,34070.0,18186.0,15884.0
Pedernales,provincia,2018,34391.0,18356.0,16035.0
Pedernales,provincia,2019,34694.0,18515.0,16179.0
Pedernales,provincia,2020,34997.0,18674.0,16323.0
Pedernales,provincia,2021,35280.0,18820.0,16460.0
Pedernales,provincia,2022,35557.0,18964.0,16593.0
Pedernales,provincia,2023,35847.0,19115.0,16732.0
Pedernales,provincia,2024,36116.0,19251.0,16865.0
Pedernales,provincia,2025,36385.0,19390.0,16995.0
Pedernales,provincia,2026,36632.0,19514.0,17118.0
Pedernales,provincia,2027,36874.0,19637.0,17237.0
Pedernales,provincia,2028,37126.0,19765.0,17361.0
Pedernales,provincia,2029,37366.0,19884.0,17482.0
Pedernales,provincia,2030,37596.0,19999.0,17597.0
Región  Del Valle,region,2000,299222.0,157005.0,142217.0
Región  Del Valle,region,2001,299385.0,157124.0,142261.0
Región  Del Valle,region,2002,299429.0,157177.0,142252.0
Región  Del Valle,region,2003,299675.0,157337.0,142338.0
Región  Del Valle,region,2004,299745.0,157403.0,142342.0
Región  Del Valle,region,2005,299841.0,157483.0,142358.0
Región  Del Valle,region,2006,299188.0,157167.0,142021.0
Región  Del Valle,region,2007,298514.0,156838.0,141676.0
Región  Del Valle,region,2008,297933.0,156559.0,141374.0
Región  Del Valle,region,2009,297189.0,156192.0,140997.0
Región  Del Valle,region,2010,296380.0,155789.0,140591.0
Región  Del Valle,region,2011,295358.0,155436.0,139922.0
Región  Del Valle,region,2012,294318.0,155070.0,139248.0
Región  Del Valle,region,2013,293359.0,154751.0,138608.0
Región  Del Valle,region,2014,292255.0,154353.0,137902.0
Región  Del Valle,region,2015,291090.0,153920.0,137170.0
Región  Del Valle,region,2016,289933.0,153457.0,136476.0
Región  Del Valle,region,2017,288756.0,152981.0,135775.0
Región  Del Valle,region,2018,287657.0,152547.0,135110.0
Región  Del Valle,region,2019,286428.0,152045.0,134383.0
Región  Del Valle,region,2020,285138.0,151506.0,133632.0
Región  Del Valle,region,2021,283567.0,150813.0,132754.0
Región  Del Valle,region,2022,281974.0,150108.0,131866.0
Región  Del Valle,region,2023,280455.0,149441.0,131014.0
Región  Del Valle,region,2024,278807.0,148706.0,130101.0
Región  Del Valle,region,2025,277122.0,147949.0,129173.0
Región  Del Valle,region,2026,275067.0,146993.0,128074.0
Región  Del Valle,region,2027,272993.0,146026.0,126967.0
Región  Del Valle,region,2028,270987.0,145093.0,125894.0
Región  Del Valle,region,2029,268862.0,144097.0,124765.0
Región  Del Valle,region,2030,266700.0,143081.0,123619.0
Elías Piña,provincia,2000,62669.0,32606.0,30063.0
Elías Piña,provincia,2001,62821.0,32698.0,30123.0
Elías Piña,provincia,2002,62950.0,32778.0,30172.0
Elías Piña,provincia,2003,63117.0,32878.0,30239.0
Elías Piña,provincia,2004,63251.0,32960.0,30291.0
Elías Piña,provincia,2005,63389.0,33045.0,30344.0
Elías Piña,provincia,2006,63369.0,33047.0,30322.0
Elías Piña,provincia,2007,63345.0,33046.0,30299.0
Elías Piña,provincia,2008,63340.0,33056.0,30284.0
Elías Piña,provincia,2009,63303.0,33048.0,30255.0
Elías Piña,provincia,2010,63250.0,33032.0,30218.0
Elías Piña,provincia,2011,63298.0,33134.0,30164.0
Elías Piña,provincia,2012,63343.0,33233.0,30110.0
Elías Piña,provincia,2013,63404.0,33344.0,30060.0
Elías Piña,provincia,2014,63433.0,33435.0,29998.0
Elías Piña,provincia,2015,63450.0,33520.0,29930.0
Elías Piña,provincia,2016,63449.0,33585.0,29864.0
Elías Piña,provincia,2017,63438.0,33643.0,29795.0
Elías Piña,provincia,2018,63452.0,33715.0,29737.0
Elías Piña,provincia,2019,63437.0,33772.0,29665.0
Elías Piña,provincia,2020,63402.0,33818.0,29584.0
Elías Piña,provincia,2021,63303.0,33824.0,29479.0
Elías Piña,provincia,2022,63196.0,33825.0,29371.0
Elías Piña,provincia,2023,63107.0,33837.0,29270.0
Elías Piña,provincia,2024,62992.0,33833.0,29159.0
Elías Piña,provincia,2025,62865.0,33824.0,29041.0
Elías Piña,provincia,2026,62647.0,33763.0,28884.0
Elías Piña,provincia,2027,62422.0,33697.0,28725.0
Elías Piña,provincia,2028,62218.0,33642.0,28576.0
Elías Piña,provincia,2029,61980.0,33571.0,28409.0
Elías Piña,provincia,2030,61737.0,33495.0,28242.0
San Juan,provincia,2000,236553.0,124399.0,112154.0
San Juan,provincia,2001,236564.0,124426.0,112138.0
San Juan,provincia,2002,236479.0,124399.0,112080.0
San Juan,provincia,2003,236558.0,124459.0,112099.0
San Juan,provincia,2004,236494.0,124443.0,112051.0
San Juan,provincia,2005,236452.0,124438.0,112014.0
San Juan,provincia,2006,235819.0,124120.0,111699.0
San Juan,provincia,2007,235169.0,123792.0,111377.0
San Juan,provincia,2008,234593.0,123503.0,111090.0
San Juan,provincia,2009,233886.0,123144.0,110742.0
San Juan,provincia,2010,233130.0,122757.0,110373.0
San Juan,provincia,2011,232060.0,122302.0,109758.0
San Juan,provincia,2012,230975.0,121837.0,109138.0
San Juan,provincia,2013,229955.0,121407.0,108548.0
San Juan,provincia,2014,228822.0,120918.0,107904.0
San Juan,provincia,2015,227640.0,120400.0,107240.0
San Juan,provincia,2016,226484.0,119872.0,106612.0
San Juan,provincia,2017,225318.0,119338.0,105980.0
San Juan,provincia,2018,224205.0,118832.0,105373.0
San Juan,provincia,2019,222991.0,118273.0,104718.0
San Juan,provincia,2020,221736.0,117688.0,104048.0
San Juan,provincia,2021,220264.0,116989.0,103275.0
San Juan,provincia,2022,218778.0,116283.0,102495.0
San Juan,provincia,2023,217348.0,115604.0,101744.0
San Juan,provincia,2024,215815.0,114873.0,100942.0
San Juan,provincia,2025,214257.0,114125.0,100132.0
San Juan,provincia,2026,212420.0,113230.0,99190.0
San Juan,provincia,2027,210571.0,112329.0,98242.0
San Juan,provincia,2028,208769.0,111451.0,97318.0
San Juan,provincia,2029,206882.0,110526.0,96356.0
San Juan,provincia,2030,204963.0,109586.0,95377.0
Región  Yuma,region,2000,481681.0,244423.0,237258.0
Región  Yuma,region,2001,494036.0,250980.0,243056.0
Región  Yuma,region,2002,506625.0,257679.0,248946.0
Región  Yuma,region,2003,519131.0,264310.0,254821.0
Región  Yuma,region,2004,531334.0,270787.0,260547.0
Región  Yuma,region,2005,543139.0,277035.0,266104.0
Región  Yuma,region,2006,556272.0,284084.0,272188.0
Región  Yuma,region,2007,569360.0,291108.0,278252.0
Región  Yuma,region,2008,582634.0,298227.0,284407.0
Región  Yuma,region,2009,595605.0,305185.0,290420.0
Región  Yuma,region,2010,608432.0,312071.0,296361.0
Región  Yuma,region,2011,619943.0,317753.0,302190.0
Región  Yuma,region,2012,631409.0,323413.0,307996.0
Región  Yuma,region,2013,643064.0,329163.0,313901.0
Región  Yuma,region,2014,654396.0,334745.0,319651.0
Región  Yuma,region,2015,665594.0,340260.0,325334.0
Región  Yuma,region,2016,676460.0,345593.0,330867.0
Región  Yuma,region,2017,687277.0,350899.0,336378.0
Región  Yuma,region,2018,698277.0,356297.0,341980.0
Región  Yuma,region,2019,708961.0,361531.0,347430.0
Región  Yuma,region,2020,719511.0,366694.0,352817.0
Región  Yuma,region,2021,729817.0,371731.0,358086.0
Región  Yuma,region,2022,740086.0,376741.0,363345.0
Región  Yuma,region,2023,750548.0,381850.0,368698.0
Región  Yuma,region,2024,760680.0,386789.0,373891.0
Región  Yuma,region,2025,770675.0,391654.0,379021.0
Región  Yuma,region,2026,780378.0,396358.0,384020.0
Región  Yuma,region,2027,790023.0,401025.0,388998.0
Región  Yuma,region,2028,799876.0,405799.0,394077.0
Región  Yuma,region,2029,809398.0,410401.0,398997.0
Región  Yuma,region,2030,818775.0,414926.0,403849.0
El Seibo,provincia,2000,87587.0,46765.0,40822.0
El Seibo,provincia,2001,87758.0,46894.0,40864.0
El Seibo,provincia,2002,87894.0,47005.0,40889.0
El Seibo,provincia,2003,88091.0,47147.0,40944.0
El Seibo,provincia,2004,88235.0,47262.0,40973.0
El Seibo,provincia,2005,88387.0,47380.0,41007.0
El Seibo,provincia,2006,88316.0,47378.0,40938.0
El Seibo,provincia,2007,88237.0,47373.0,40864.0
El Seibo,provincia,2008,88185.0,47381.0,40804.0
El Seibo,provincia,2009,88091.0,47367.0,40724.0
El Seibo,provincia,2010,87975.0,47339.0,40636.0
El Seibo,provincia,2011,88526.0,47596.0,40930.0
El Seibo,provincia,2012,89073.0,47849.0,41224.0
El Seibo,provincia,2013,89643.0,48117.0,41526.0
El Seibo,provincia,2014,90169.0,48358.0,41811.0
El Seibo,provincia,2015,90676.0,48589.0,42087.0
El Seibo,provincia,2016,91256.0,48852.0,42404.0
El Seibo,provincia,2017,91826.0,49110.0,42716.0
El Seibo,provincia,2018,92418.0,49378.0,43040.0
El Seibo,provincia,2019,92973.0,49626.0,43347.0
El Seibo,provincia,2020,93508.0,49864.0,43644.0
El Seibo,provincia,2021,94049.0,50106.0,43943.0
El Seibo,provincia,2022,94587.0,50344.0,44243.0
El Seibo,provincia,2023,95146.0,50593.0,44553.0
El Seibo,provincia,2024,95665.0,50821.0,44844.0
El Seibo,provincia,2025,96165.0,51038.0,45127.0
El Seibo,provincia,2026,96622.0,51234.0,45388.0
El Seibo,provincia,2027,97071.0,51425.0,45646.0
El Seibo,provincia,2028,97545.0,51630.0,45915.0
El Seibo,provincia,2029,97981.0,51812.0,46169.0
El Seibo,provincia,2030,98396.0,51985.0,46411.0
La Altagracia,provincia,2000,178548.0,91632.0,86916.0
La Altagracia,provincia,2001,187413.0,96392.0,91021.0
La Altagracia,provincia,2002,196602.0,101340.0,95262.0
La Altagracia,provincia,2003,205528.0,106131.0,99397.0
La Altagracia,provincia,2004,214338.0,110863.0,103475.0
La Altagracia,provincia,2005,222756.0,115371.0,107385.0
La Altagracia,provincia,2006,233067.0,120966.0,112101.0
La Altagracia,provincia,2007,243361.0,126549.0,116812.0
La Altagracia,provincia,2008,253736.0,132177.0,121559.0
La Altagracia,provincia,2009,263974.0,137729.0,126245.0
La Altagracia,provincia,2010,274151.0,143252.0,130899.0
La Altagracia,provincia,2011,282341.0,147338.0,135003.0
La Altagracia,provincia,2012,290509.0,151414.0,139095.0
La Altagracia,provincia,2013,298764.0,155531.0,143233.0
La Altagracia,provincia,2014,306873.0,159574.0,147299.0
La Altagracia,provincia,2015,314916.0,163581.0,151335.0
La Altagracia,provincia,2016,322653.0,167429.0,155224.0
La Altagracia,provincia,2017,330367.0,171263.0,159104.0
La Altagracia,provincia,2018,338173.0,175147.0,163026.0
La Altagracia,provincia,2019,345822.0,178945.0,166877.0
La Altagracia,provincia,2020,353406.0,182710.0,170696.0
La Altagracia,provincia,2021,360874.0,186410.0,174464.0
La Altagracia,provincia,2022,368324.0,190099.0,178225.0
La Altagracia,provincia,2023,375872.0,193837.0,182035.0
La Altagracia,provincia,2024,383256.0,197491.0,185765.0
La Altagracia,provincia,2025,390568.0,201105.0,189463.0
La Altagracia,provincia,2026,397846.0,204686.0,193160.0
La Altagracia,provincia,2027,405100.0,208251.0,196849.0
La Altagracia,provincia,2028,412458.0,211870.0,200588.0
La Altagracia,provincia,2029,419645.0,215400.0,204245.0
La Altagracia,provincia,2030,426757.0,218889.0,207868.0
La Romana,provincia,2000,215546.0,106026.0,109520.0
La Romana,provincia,2001,218865.0,107694.0,111171.0
La Romana,provincia,2002,222129.0,109334.0,112795.0
La Romana,provincia,2003,225512.0,111032.0,114480.0
La Romana,provincia,2004,228761.0,112662.0,116099.0
La Romana,provincia,2005,231996.0,114284.0,117712.0
La Romana,provincia,2006,234889.0,115740.0,119149.0
La Romana,provincia,2007,237762.0,117186.0,120576.0
La Romana,provincia,2008,240713.0,118669.0,122044.0
La Romana,provincia,2009,243540.0,120089.0,123451.0
La Romana,provincia,2010,246306.0,121480.0,124826.0
La Romana,provincia,2011,249076.0,122819.0,126257.0
La Romana,provincia,2012,251827.0,124150.0,127677.0
La Romana,provincia,2013,254657.0,125515.0,129142.0
La Romana,provincia,2014,257354.0,126813.0,130541.0
La Romana,provincia,2015,260002.0,128090.0,131912.0
La Romana,provincia,2016,262551.0,129312.0,133239.0
La Romana,provincia,2017,265084.0,130526.0,134558.0
La Romana,provincia,2018,267686.0,131772.0,135914.0
La Romana,provincia,2019,270166.0,132960.0,137206.0
La Romana,provincia,2020,272597.0,134120.0,138477.0
La Romana,provincia,2021,274894.0,135215.0,139679.0
La Romana,provincia,2022,277175.0,136298.0,140877.0
La Romana,provincia,2023,279530.0,137420.0,142110.0
La Romana,provincia,2024,281759.0,138477.0,143282.0
La Romana,provincia,2025,283942.0,139511.0,144431.0
La Romana,provincia,2026,285910.0,140438.0,145472.0
La Romana,provincia,2027,287852.0,141349.0,146503.0
La Romana,provincia,2028,289873.0,142299.0,147574.0
La Romana,provincia,2029,291772.0,143189.0,148583.0
La Romana,provincia,2030,293622.0,144052.0,149570.0
Región Higuamo,region,2000,558838.0,283932.0,274906.0
Región Higuamo,region,2001,560118.0,284292.0,275826.0
Región Higuamo,region,2002,561188.0,284541.0,276647.0
Región Higuamo,region,2003,562619.0,284974.0,277645.0
Región Higuamo,region,2004,563724.0,285237.0,278487.0
Región Higuamo,region,2005,564887.0,285527.0,279360.0
Región Higuamo,region,2006,564671.0,285114.0,279557.0
Región Higuamo,region,2007,564399.0,284676.0,279723.0
Región Higuamo,region,2008,564311.0,284326.0,279985.0
Región Higuamo,region,2009,563921.0,283819.0,280102.0
Región Higuamo,region,2010,563406.0,283252.0,280154.0
Región Higuamo,region,2011,565365.0,284279.0,281086.0
Región Higuamo,region,2012,567289.0,285280.0,282009.0
Región Higuamo,region,2013,569377.0,286372.0,283005.0
Región Higuamo,region,2014,571183.0,287314.0,283869.0
Región Higuamo,region,2015,572865.0,288195.0,284670.0
Región Higuamo,region,2016,574709.0,289125.0,285584.0
Región Higuamo,region,2017,576517.0,290030.0,286487.0
Región Higuamo,region,2018,578478.0,291014.0,287464.0
Región Higuamo,region,2019,580177.0,291861.0,288316.0
Región Higuamo,region,2020,581761.0,292652.0,289109.0
Región Higuamo,region,2021,583196.0,293355.0,289841.0
Región Higuamo,region,2022,584602.0,294038.0,290564.0
Región Higuamo,region,2023,586162.0,294802.0,291360.0
Región Higuamo,region,2024,587465.0,295431.0,292034.0
Región Higuamo,region,2025,588659.0,296006.0,292653.0
Región Higuamo,region,2026,589363.0,296328.0,293035.0
Región Higuamo,region,2027,590043.0,296638.0,293405.0
Región Higuamo,region,2028,590853.0,297012.0,293841.0
Región Higuamo,region,2029,591425.0,297263.0,294162.0
Región Higuamo,region,2030,591899.0,297460.0,294439.0
San Pedro de Macorís,provincia,2000,295915.0,147179.0,148736.0
San Pedro de Macorís,provincia,2001,295910.0,147046.0,148864.0
San Pedro de Macorís,provincia,2002,295791.0,146857.0,148934.0
San Pedro de Macorís,provincia,2003,295870.0,146763.0,149107.0
San Pedro de Macorís,provincia,2004,295773.0,146582.0,149191.0
San Pedro de Macorís,provincia,2005,295709.0,146414.0,149295.0
San Pedro de Macorís,provincia,2006,294905.0,145881.0,149024.0
San Pedro de Macorís,provincia,2007,294076.0,145336.0,148740.0
San Pedro de Macorís,provincia,2008,293340.0,144835.0,148505.0
San Pedro de Macorís,provincia,2009,292447.0,144256.0,148191.0
San Pedro de Macorís,provincia,2010,291491.0,143645.0,147846.0
San Pedro de Macorís,provincia,2011,292956.0,144383.0,148573.0
San Pedro de Macorís,provincia,2012,294398.0,145109.0,149289.0
San Pedro de Macorís,provincia,2013,295926.0,145880.0,150046.0
San Pedro de Macorís,provincia,2014,297314.0,146577.0,150737.0
San Pedro de Macorís,provincia,2015,298633.0,147242.0,151391.0
San Pedro de Macorís,provincia,2016,299933.0,147885.0,152048.0
San Pedro de Macorís,provincia,2017,301215.0,148514.0,152701.0
San Pedro de Macorís,provincia,2018,302577.0,149184.0,153393.0
San Pedro de Macorís,provincia,2019,303801.0,149784.0,154017.0
San Pedro de Macorís,provincia,2020,304966.0,150355.0,154611.0
San Pedro de Macorís,provincia,2021,306002.0,150857.0,155145.0
San Pedro de Macorís,provincia,2022,307027.0,151351.0,155676.0
San Pedro de Macorís,provincia,2023,308126.0,151882.0,156244.0
San Pedro de Macorís,provincia,2024,309092.0,152346.0,156746.0
San Pedro de Macorís,provincia,2025,310003.0,152782.0,157221.0
San Pedro de Macorís,provincia,2026,310635.0,153078.0,157557.0
San Pedro de Macorís,provincia,2027,311250.0,153365.0,157885.0
San Pedro de Macorís,provincia,2028,311939.0,153686.0,158253.0
San Pedro de Macorís,provincia,2029,312499.0,153943.0,158556.0
San Pedro de Macorís,provincia,2030,313007.0,154172.0,158835.0
Monte Plata,provincia,2000,176955.0,92058.0,84897.0
Monte Plata,provincia,2001,178177.0,92610.0,85567.0
Monte Plata,provincia,2002,179335.0,93127.0,86208.0
Monte Plata,provincia,2003,180605.0,93704.0,86901.0
Monte Plata,provincia,2004,181773.0,94226.0,87547.0
Monte Plata,provincia,2005,182957.0,94757.0,88200.0
Monte Plata,provincia,2006,183714.0,95059.0,88655.0
Monte Plata,provincia,2007,184449.0,95351.0,89098.0
Monte Plata,provincia,2008,185248.0,95675.0,89573.0
Monte Plata,provincia,2009,185944.0,95943.0,90001.0
Monte Plata,provincia,2010,186602.0,96192.0,90410.0
Monte Plata,provincia,2011,187040.0,96448.0,90592.0
Monte Plata,provincia,2012,187462.0,96692.0,90770.0
Monte Plata,provincia,2013,187942.0,96968.0,90974.0
Monte Plata,provincia,2014,188328.0,97196.0,91132.0
Monte Plata,provincia,2015,188671.0,97399.0,91272.0
Monte Plata,provincia,2016,189166.0,97664.0,91502.0
Monte Plata,provincia,2017,189649.0,97921.0,91728.0
Monte Plata,provincia,2018,190179.0,98203.0,91976.0
Monte Plata,provincia,2019,190628.0,98441.0,92187.0
Monte Plata,provincia,2020,191033.0,98657.0,92376.0
Monte Plata,provincia,2021,191447.0,98872.0,92575.0
Monte Plata,provincia,2022,191845.0,99077.0,92768.0
Monte Plata,provincia,2023,192298.0,99312.0,92986.0
Monte Plata,provincia,2024,192665.0,99500.0,93165.0
Monte Plata,provincia,2025,192997.0,99671.0,93326.0
Monte Plata,provincia,2026,193180.0,99763.0,93417.0
Monte Plata,provincia,2027,193353.0,99849.0,93504.0
Monte Plata,provincia,2028,193570.0,99960.0,93610.0
Monte Plata,provincia,2029,193710.0,100028.0,93682.0
Monte Plata,provincia,2030,193818.0,100078.0,93740.0
Hato Mayor,provincia,2000,85968.0,44695.0,41273.0
Hato Mayor,provincia,2001,86031.0,44636.0,41395.0
Hato Mayor,provincia,2002,86062.0,44557.0,41505.0
Hato Mayor,provincia,2003,86144.0,44507.0,41637.0
Hato Mayor,provincia,2004,86178.0,44429.0,41749.0
Hato Mayor,provincia,2005,86221.0,44356.0,41865.0
Hato Mayor,provincia,2006,86052.0,44174.0,41878.0
Hato Mayor,provincia,2007,85874.0,43989.0,41885.0
Hato Mayor,provincia,2008,85723.0,43816.0,41907.0
Hato Mayor,provincia,2009,85530.0,43620.0,41910.0
Hato Mayor,provincia,2010,85313.0,43415.0,41898.0
Hato Mayor,provincia,2011,85369.0,43448.0,41921.0
Hato Mayor,provincia,2012,85429.0,43479.0,41950.0
Hato Mayor,provincia,2013,85509.0,43524.0,41985.0
Hato Mayor,provincia,2014,85541.0,43541.0,42000.0
Hato Mayor,provincia,2015,85561.0,43554.0,42007.0
Hato Mayor,provincia,2016,85610.0,43576.0,42034.0
Hato Mayor,provincia,2017,85653.0,43595.0,42058.0
Hato Mayor,provincia,2018,85722.0,43627.0,42095.0
Hato Mayor,provincia,2019,85748.0,43636.0,42112.0
Hato Mayor,provincia,2020,85762.0,43640.0,42122.0
Hato Mayor,provincia,2021,85747.0,43626.0,42121.0
Hato Mayor,provincia,2022,85730.0,43610.0,42120.0
Hato Mayor,provincia,2023,85738.0,43608.0,42130.0
Hato Mayor,provincia,2024,85708.0,43585.0,42123.0
Hato Mayor,provincia,2025,85659.0,43553.0,42106.0
Hato Mayor,provincia,2026,85548.0,43487.0,42061.0
Hato Mayor,provincia,2027,85440.0,43424.0,42016.0
Hato Mayor,provincia,2028,85344.0,43366.0,41978.0
Hato Mayor,provincia,2029,85216.0,43292.0,41924.0
Hato Mayor,provincia,2030,85074.0,43210.0,41864.0
