"chequeo","estado","detalle"
"Parejas únicas por hogar","OK","14033 parejas analíticas"
"Educación válida en ambos miembros","OK","88,4% de hogares con pareja válida"
"Factor de expansión presente","OK","F_expansión"
"Modelo logit converge","OK","glm quasibinomial ponderado por factor de expansión"
"No se filtra por ocupación","OK","La ocupación no forma parte del filtro principal ni del ajuste base"
