PERIODO,CÓD_MES,MES,CÓD_REGIÓN,REGIÓN,CÓD_PROVINCIA,PROVINCIA,CÓD_MUNICIPIO,MUNICIPIO,CÓD_CAPITULO,UNIDAD_EJECUTORA,CÓD_ECO_TITULO,ECO_TITULO,CÓD_ECO_SUB_TITULO,ECO_SUB_TITULO,CÓD_CONCEPTO,CONCEPTO,CÓD_CUENTA,DES_CUENTA,PERCIBIDO
2023,12,Diciembre,05,Región Valdesia,21,San Cristóbal,0005,Villa Altagracia,7301,San José del Puerto,1.2,Ingresos de capital,1.2.4,Transferencias de capital recibidas,1.4,Transferencias,1.4.2,Transferencias de capital,1157602.8
2023,12,Diciembre,05,Región Valdesia,21,San Cristóbal,0005,Villa Altagracia,7301,San José del Puerto,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos internos sobre mercancías y servicios,54080
2023,12,Diciembre,05,Región Valdesia,21,San Cristóbal,0005,Villa Altagracia,7301,San José del Puerto,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos internos sobre mercancías y servicios,80000
2023,12,Diciembre,05,Región Valdesia,21,San Cristóbal,0005,Villa Altagracia,7301,San José del Puerto,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.9,Impuestos diversos,500
2023,12,Diciembre,10,Región Ozama o Metropolitana,32,Santo Domingo,0001,Santo Domingo Este,7302,San Luis,1.1,Ingresos corrientes,1.1.6,Transferencias y donaciones corrientes recibidas,1.4,Transferencias,1.4.1,Transferencias corrientes,423913
2023,12,Diciembre,10,Región Ozama o Metropolitana,32,Santo Domingo,0001,Santo Domingo Este,7302,San Luis,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación,1.5.1,Ventas de bienes y servicios,7826
2023,12,Diciembre,10,Región Ozama o Metropolitana,32,Santo Domingo,0001,Santo Domingo Este,7302,San Luis,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación,1.5.1,Ventas de bienes y servicios,98100
2023,12,Diciembre,10,Región Ozama o Metropolitana,32,Santo Domingo,0001,Santo Domingo Este,7302,San Luis,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos internos sobre mercancías y servicios,2400
2023,12,Diciembre,10,Región Ozama o Metropolitana,32,Santo Domingo,0001,Santo Domingo Este,7302,San Luis,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos internos sobre mercancías y servicios,4700
2023,12,Diciembre,10,Región Ozama o Metropolitana,32,Santo Domingo,0001,Santo Domingo Este,7302,San Luis,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos internos sobre mercancías y servicios,9000
2023,12,Diciembre,10,Región Ozama o Metropolitana,32,Santo Domingo,0001,Santo Domingo Este,7302,San Luis,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación,1.5.1,Ventas de bienes y servicios,42600
2023,12,Diciembre,05,Región Valdesia,17,Peravia,0002,Nizao,7303,Santana ( Nizao ),1.2,Ingresos de capital,1.2.4,Transferencias de capital recibidas,1.4,Transferencias,1.4.2,Transferencias de capital,1750000
2023,12,Diciembre,05,Región Valdesia,17,Peravia,0002,Nizao,7303,Santana ( Nizao ),1.2,Ingresos de capital,1.2.4,Transferencias de capital recibidas,1.4,Transferencias,1.4.2,Transferencias de capital,475579
2023,12,Diciembre,05,Región Valdesia,17,Peravia,0002,Nizao,7303,Santana ( Nizao ),1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación,1.5.1,Ventas de bienes y servicios,183000
2023,12,Diciembre,07,Región El Valle,02,Azua,0008,Tábara Arriba,7305,Tabara Abajo,1.2,Ingresos de capital,1.2.4,Transferencias de capital recibidas,1.4,Transferencias,1.4.2,Transferencias de capital,520591.9
2023,12,Diciembre,06,Región Enriquillo,10,Independencia,0002,Duvergé,7306,Vengan A Ver,1.1,Ingresos corrientes,1.1.6,Transferencias y donaciones corrientes recibidas,1.4,Transferencias,1.4.1,Transferencias corrientes,1188250.3999999999
2023,12,Diciembre,06,Región Enriquillo,10,Independencia,0002,Duvergé,7306,Vengan A Ver,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos internos sobre mercancías y servicios,370700
2023,12,Diciembre,01,Región Cibao Norte,09,Espaillat,0003,Gaspar Hernández,7307,Veragua,1.2,Ingresos de capital,1.2.4,Transferencias de capital recibidas,1.4,Transferencias,1.4.2,Transferencias de capital,924530
2023,12,Diciembre,01,Región Cibao Norte,18,Puerto Plata,0009,Villa Montellano,7308,Villa de Montellano,1.1,Ingresos corrientes,1.1.6,Transferencias y donaciones corrientes recibidas,1.4,Transferencias,1.4.1,Transferencias corrientes,906150.49
2023,12,Diciembre,01,Región Cibao Norte,18,Puerto Plata,0009,Villa Montellano,7308,Villa de Montellano,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación,1.5.1,Ventas de bienes y servicios,1000
2023,12,Diciembre,01,Región Cibao Norte,18,Puerto Plata,0009,Villa Montellano,7308,Villa de Montellano,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.3,Impuestos sobre la propiedad ,500000
2023,12,Diciembre,01,Región Cibao Norte,18,Puerto Plata,0009,Villa Montellano,7308,Villa de Montellano,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos internos sobre mercancías y servicios,3000
2023,12,Diciembre,01,Región Cibao Norte,18,Puerto Plata,0009,Villa Montellano,7308,Villa de Montellano,1.1,Ingresos corrientes,1.1.6,Transferencias y donaciones corrientes recibidas,1.4,Transferencias,1.4.1,Transferencias corrientes,100000
