PERIODO,CÓD_MES,MES,CÓD_REGIÓN,REGIÓN,CÓD_PROVINCIA,PROVINCIA,CÓD_MUNICIPIO,MUNICIPIO,CÓD_CAPITULO,UNIDAD_EJECUTORA,CÓD_ECO_TITULO,ECO_TITULO,CÓD_ECO_SUB_TITULO,ECO_SUB_TITULO,CÓD_CONCEPTO,CONCEPTO,CÓD_CUENTA,DES_CUENTA,PERCIBIDO
2024,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,1.1,Ingresos corrientes,1.1.6,Transferencias y donaciones corrientes recibidas,1.4,Transferencias,1.4.1,Transferencias corrientes,92326553
2024,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación ,1.5.1,Ventas de bienes y servicios,9972330.5800000001
2024,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación ,1.5.1,Ventas de bienes y servicios,719294
2024,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación ,1.5.1,Ventas de bienes y servicios,40000
2024,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación ,1.5.1,Ventas de bienes y servicios,42700
2024,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,3.1,Fuentes financieras,3.1.1,Disminución de activos financieros,3.1,Disminución de activos financieros,3.1.2,Disminución de activos financieros no corrientes,296868
2024,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos internos sobre mercancías y servicios,10676854.07
2024,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos internos sobre mercancías y servicios,5391708.5300000003
2024,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos internos sobre mercancías y servicios,353492
2024,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos internos sobre mercancías y servicios,1200506
2024,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.9,Impuestos diversos,71001048.180000007
2024,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.9,Impuestos diversos,518845.76
2024,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación ,1.5.1,Ventas de bienes y servicios,3338241.85
2024,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación ,1.5.1,Ventas de bienes y servicios,445470
2024,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación ,1.5.1,Ventas de bienes y servicios,85400
2024,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación ,1.5.1,Ventas de bienes y servicios,199700
2024,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,1.1,Ingresos corrientes,1.1.4,Rentas de la propiedad,1.6,Otros ingresos,1.6.1,Rentas de la propiedad,335250
2024,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,1.1,Ingresos corrientes,1.1.7,Multas y sanciones pecuniarias,1.6,Otros ingresos,1.6.3,Multas y sanciones,524578.21
2024,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,1.1,Ingresos corrientes,1.1.9,Otros ingresos corrientes,1.6,Otros ingresos,1.6.4,Ingresos diversos,3201155.38
2024,01,Enero,10,Región Ozama o Metropolitana,01,Distrito Nacional,0001,Santo Domingo de Guzmán,7001,Ayuntamiento del Distrito Nacional,3.1,Fuentes financieras,3.1.1,Disminución de activos financieros,3.1,Disminución de activos financieros,3.1.1,Disminución de activos financieros corrientes,0
2024,01,Enero,01,Región Cibao Norte,18,Puerto Plata,0002,Altamira,7002,Ayuntamiento Municipal de Altamira,1.1,Ingresos corrientes,1.1.6,Transferencias y donaciones corrientes recibidas,1.4,Transferencias,1.4.1,Transferencias corrientes,2194953.5
2024,01,Enero,01,Región Cibao Norte,18,Puerto Plata,0002,Altamira,7002,Ayuntamiento Municipal de Altamira,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación ,1.5.1,Ventas de bienes y servicios,1700
2024,01,Enero,01,Región Cibao Norte,18,Puerto Plata,0002,Altamira,7002,Ayuntamiento Municipal de Altamira,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación ,1.5.1,Ventas de bienes y servicios,1200
2024,01,Enero,01,Región Cibao Norte,18,Puerto Plata,0002,Altamira,7002,Ayuntamiento Municipal de Altamira,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos internos sobre mercancías y servicios,8740
2024,01,Enero,01,Región Cibao Norte,18,Puerto Plata,0002,Altamira,7002,Ayuntamiento Municipal de Altamira,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos internos sobre mercancías y servicios,87200
2024,01,Enero,03,Región Cibao Nordeste,06,Duarte,0002,Arenoso,7003,Ayuntamiento Municipal de Arenoso,1.2,Ingresos de capital,1.2.4,Transferencias de capital recibidas,1.4,Transferencias,1.4.2,Transferencias de capital,0
2024,01,Enero,03,Región Cibao Nordeste,06,Duarte,0002,Arenoso,7003,Ayuntamiento Municipal de Arenoso,1.2,Ingresos de capital,1.2.4,Transferencias de capital recibidas,1.4,Transferencias,1.4.2,Transferencias de capital,780660.99
2024,01,Enero,03,Región Cibao Nordeste,06,Duarte,0002,Arenoso,7003,Ayuntamiento Municipal de Arenoso,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación ,1.5.1,Ventas de bienes y servicios,0
2024,01,Enero,03,Región Cibao Nordeste,06,Duarte,0002,Arenoso,7003,Ayuntamiento Municipal de Arenoso,3.1,Fuentes financieras,3.1.1,Disminución de activos financieros,3.1,Disminución de activos financieros,3.1.1,Disminución de activos financieros corrientes,1288863.8400000001
2024,01,Enero,07,Región El Valle,02,Azua,0001,Azua,7004,Ayuntamiento Municipal de Azua de Compostela,1.2,Ingresos de capital,1.2.4,Transferencias de capital recibidas,1.4,Transferencias,1.4.2,Transferencias de capital,4279249.3600000003
2024,01,Enero,07,Región El Valle,02,Azua,0001,Azua,7004,Ayuntamiento Municipal de Azua de Compostela,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación ,1.5.1,Ventas de bienes y servicios,1000
2024,01,Enero,07,Región El Valle,02,Azua,0001,Azua,7004,Ayuntamiento Municipal de Azua de Compostela,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos internos sobre mercancías y servicios,12727
2024,01,Enero,07,Región El Valle,02,Azua,0001,Azua,7004,Ayuntamiento Municipal de Azua de Compostela,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos internos sobre mercancías y servicios,200
2024,01,Enero,07,Región El Valle,02,Azua,0001,Azua,7004,Ayuntamiento Municipal de Azua de Compostela,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos internos sobre mercancías y servicios,4000
2024,01,Enero,07,Región El Valle,02,Azua,0001,Azua,7004,Ayuntamiento Municipal de Azua de Compostela,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.6,Impuestos ecológicos ,7540
2024,01,Enero,07,Región El Valle,02,Azua,0001,Azua,7004,Ayuntamiento Municipal de Azua de Compostela,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación ,1.5.1,Ventas de bienes y servicios,67900
2024,01,Enero,07,Región El Valle,02,Azua,0001,Azua,7004,Ayuntamiento Municipal de Azua de Compostela,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación ,1.5.1,Ventas de bienes y servicios,32000
2024,01,Enero,07,Región El Valle,02,Azua,0001,Azua,7004,Ayuntamiento Municipal de Azua de Compostela,3.1,Fuentes financieras,3.1.1,Disminución de activos financieros,3.1,Disminución de activos financieros,3.1.1,Disminución de activos financieros corrientes,0
2024,01,Enero,05,Región Valdesia,21,San Cristóbal,0003,Bajos de Haina,7005,Ayuntamiento Municipal de Bajos de Haina,1.1,Ingresos corrientes,1.1.6,Transferencias y donaciones corrientes recibidas,1.4,Transferencias,1.4.1,Transferencias corrientes,8520351
2024,01,Enero,05,Región Valdesia,21,San Cristóbal,0003,Bajos de Haina,7005,Ayuntamiento Municipal de Bajos de Haina,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación ,1.5.1,Ventas de bienes y servicios,167500
2024,01,Enero,05,Región Valdesia,21,San Cristóbal,0003,Bajos de Haina,7005,Ayuntamiento Municipal de Bajos de Haina,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación ,1.5.1,Ventas de bienes y servicios,9000
