pais,codigo,anio,valor,grupo,indice,metrica
Dominican Republic,DOM,2020,47694.874174832,República Dominicana,213.96014395449234,Productividad por trabajador
Upper middle income,,2020,38591.422070678,Ingreso mediano alto,307.6806033520224,Productividad por trabajador
Dominican Republic,DOM,2021,52122.1489242308,República Dominicana,233.8209855878122,Productividad por trabajador
Upper middle income,,2021,40185.0423770018,Ingreso mediano alto,320.38617446224833,Productividad por trabajador
Dominican Republic,DOM,2022,52845.4779231741,República Dominicana,237.06585370871466,Productividad por trabajador
Upper middle income,,2022,41250.5501513031,Ingreso mediano alto,328.8812248460585,Productividad por trabajador
Dominican Republic,DOM,2023,52472.0258578576,República Dominicana,235.39054039596073,Productividad por trabajador
Upper middle income,,2023,42458.737219923,Ingreso mediano alto,338.5138246905076,Productividad por trabajador
Dominican Republic,DOM,2024,53911.1123091322,República Dominicana,241.84631053069253,Productividad por trabajador
Upper middle income,,2024,44097.6540344613,Ingreso mediano alto,351.58053452611284,Productividad por trabajador
Dominican Republic,DOM,2025,54042.5263715383,República Dominicana,242.43583660024427,Productividad por trabajador
Upper middle income,,2025,45649.6117468483,Ingreso mediano alto,363.9539392804006,Productividad por trabajador
Dominican Republic,DOM,1990,30.610707909123,República Dominicana,100,Exportaciones (% del PIB)
Upper middle income,,1990,18.5243271651354,Ingreso mediano alto,100,Exportaciones (% del PIB)
Dominican Republic,DOM,1991,40.0779731552293,República Dominicana,130.92795264393328,Exportaciones (% del PIB)
Upper middle income,,1991,19.1737718246183,Ingreso mediano alto,103.50590147589932,Exportaciones (% del PIB)
Dominican Republic,DOM,1992,36.8037503160956,República Dominicana,120.23162099144682,Exportaciones (% del PIB)
Upper middle income,,1992,19.5767037994957,Ingreso mediano alto,105.68105186751924,Exportaciones (% del PIB)
Dominican Republic,DOM,1993,36.3893323975465,República Dominicana,118.87778781718822,Exportaciones (% del PIB)
Upper middle income,,1993,18.8465856303218,Ingreso mediano alto,101.7396500413409,Exportaciones (% del PIB)
Dominican Republic,DOM,1994,36.2085399180065,República Dominicana,118.2871693967429,Exportaciones (% del PIB)
Upper middle income,,1994,19.8346807434612,Ingreso mediano alto,107.07369054025354,Exportaciones (% del PIB)
Dominican Republic,DOM,1995,35.2267216224166,República Dominicana,115.07973525799406,Exportaciones (% del PIB)
Upper middle income,,1995,20.6410757303392,Ingreso mediano alto,111.42685802476933,Exportaciones (% del PIB)
Dominican Republic,DOM,1996,34.8867097256752,República Dominicana,113.96897395920013,Exportaciones (% del PIB)
Upper middle income,,1996,20.7555304359141,Ingreso mediano alto,112.04471963212809,Exportaciones (% del PIB)
Dominican Republic,DOM,1997,35.2222875438087,República Dominicana,115.06524987392172,Exportaciones (% del PIB)
Upper middle income,,1997,21.6056855102072,Ingreso mediano alto,116.6341174910321,Exportaciones (% del PIB)
Dominican Republic,DOM,1998,34.3098842791,República Dominicana,112.08458288831184,Exportaciones (% del PIB)
Upper middle income,,1998,21.3697617242792,Ingreso mediano alto,115.36052852974433,Exportaciones (% del PIB)
Dominican Republic,DOM,1999,34.9811021074665,República Dominicana,114.27733788881432,Exportaciones (% del PIB)
Upper middle income,,1999,23.3462627253099,Ingreso mediano alto,126.03028718500424,Exportaciones (% del PIB)
Dominican Republic,DOM,2000,35.4978251417642,República Dominicana,115.96538455481024,Exportaciones (% del PIB)
Upper middle income,,2000,25.8037881124973,Ingreso mediano alto,139.29676302123707,Exportaciones (% del PIB)
Dominican Republic,DOM,2001,31.8906200886267,República Dominicana,104.18125638682876,Exportaciones (% del PIB)
Upper middle income,,2001,25.1545265420384,Ingreso mediano alto,135.79184991604816,Exportaciones (% del PIB)
Dominican Republic,DOM,2002,30.724010155589,República Dominicana,100.37013925585246,Exportaciones (% del PIB)
Upper middle income,,2002,27.2043962027046,Ingreso mediano alto,146.85767510037257,Exportaciones (% del PIB)
Dominican Republic,DOM,2003,42.1529981602708,República Dominicana,137.70670801019867,Exportaciones (% del PIB)
Upper middle income,,2003,28.9862875166071,Ingreso mediano alto,156.47687097193,Exportaciones (% del PIB)
Dominican Republic,DOM,2004,41.1474766418853,República Dominicana,134.42183945580032,Exportaciones (% del PIB)
Upper middle income,,2004,31.2153109776035,Ingreso mediano alto,168.5098233222407,Exportaciones (% del PIB)
Dominican Republic,DOM,2005,28.3311381514539,República Dominicana,92.55303155864057,Exportaciones (% del PIB)
Upper middle income,,2005,32.0100826654214,Ingreso mediano alto,172.80024467321823,Exportaciones (% del PIB)
Dominican Republic,DOM,2006,28.2249162691947,República Dominicana,92.20602265386599,Exportaciones (% del PIB)
Upper middle income,,2006,32.8664779051891,Ingreso mediano alto,177.42332885939865,Exportaciones (% del PIB)
Dominican Republic,DOM,2007,26.7620220119612,República Dominicana,87.42699480002955,Exportaciones (% del PIB)
Upper middle income,,2007,32.2465869640626,Ingreso mediano alto,174.0769674201924,Exportaciones (% del PIB)
Dominican Republic,DOM,2008,23.9483515015273,República Dominicana,78.2352096286865,Exportaciones (% del PIB)
Upper middle income,,2008,31.6936945918199,Ingreso mediano alto,171.09228480627647,Exportaciones (% del PIB)
Dominican Republic,DOM,2009,21.0931826103163,República Dominicana,68.90785627348997,Exportaciones (% del PIB)
Upper middle income,,2009,25.9227920447334,Ingreso mediano alto,139.9391827494962,Exportaciones (% del PIB)
Dominican Republic,DOM,2010,22.7751186165488,República Dominicana,74.4024564350603,Exportaciones (% del PIB)
Upper middle income,,2010,27.1090611511532,Ingreso mediano alto,146.34302724999972,Exportaciones (% del PIB)
Dominican Republic,DOM,2011,24.3269602141381,República Dominicana,79.47206019004828,Exportaciones (% del PIB)
Upper middle income,,2011,27.5634847582803,Ingreso mediano alto,148.79614526652003,Exportaciones (% del PIB)
Dominican Republic,DOM,2012,24.7666213993906,República Dominicana,80.90835884265627,Exportaciones (% del PIB)
Upper middle income,,2012,27.1922288519426,Ingreso mediano alto,146.79199200887058,Exportaciones (% del PIB)
Dominican Republic,DOM,2013,25.3838177066263,República Dominicana,82.92463468007901,Exportaciones (% del PIB)
Upper middle income,,2013,26.2996892738847,Ingreso mediano alto,141.9737895980551,Exportaciones (% del PIB)
Dominican Republic,DOM,2014,25.4069026925032,República Dominicana,83.0000494203896,Exportaciones (% del PIB)
Upper middle income,,2014,25.5038557334864,Ingreso mediano alto,137.67763604114677,Exportaciones (% del PIB)
Dominican Republic,DOM,2015,24.0368347236543,República Dominicana,78.52426933416503,Exportaciones (% del PIB)
Upper middle income,,2015,23.9463774537385,Ingreso mediano alto,129.26989056211409,Exportaciones (% del PIB)
Dominican Republic,DOM,2016,24.1938670386292,República Dominicana,79.03726731984081,Exportaciones (% del PIB)
Upper middle income,,2016,22.8562360963626,Ingreso mediano alto,123.38497313619183,Exportaciones (% del PIB)
Dominican Republic,DOM,2017,24.1797519638034,República Dominicana,78.99115576022676,Exportaciones (% del PIB)
Upper middle income,,2017,23.3864313863278,Ingreso mediano alto,126.247129938103,Exportaciones (% del PIB)
Dominican Republic,DOM,2018,23.993089643769,República Dominicana,78.3813615647166,Exportaciones (% del PIB)
Upper middle income,,2018,24.1155869154734,Ingreso mediano alto,130.18333513813823,Exportaciones (% del PIB)
Dominican Republic,DOM,2019,23.325332586795,República Dominicana,76.19991231840568,Exportaciones (% del PIB)
