dimension,formal,informal,total,pct_informal
Primario,229522.72336798,651107.136210186,880629.859578166,73.93652726266578
Secundario,1268898.5836512,1290976.15234891,2559874.73600011,50.43122361393759
Universitario,1054734.5074614,293344.151376877,1348078.658838277,21.760165807362444
Ninguno,36330.2488677725,135024.633990994,171354.8828587665,78.79824125133541
