escenario,salario,sfs_empleador,pension_empleador,riesgos_bajo,infotep,costo_directo_bajo,sueldo_13,vacaciones_14_dias,costo_anualizado_bajo,sobrecosto_directo,sobrecosto_anualizado,sobrecosto_directo_pct,sobrecosto_anualizado_pct,tope_sfs_2026,tope_pension_2026,tope_riesgos_2026
Salario minimo,17701.25,1255.0186250000002,1256.78875,194.71374999999998,177.01250000000002,20584.783625,1475.1041666666667,688.3819444444445,22748.269736111113,2883.533625,5047.019736111113,16.29,28.51222222222223,232230,464460,92892
Salario bajo,30000,2127,2130,330,300,34887,2500,1166.6666666666667,38553.666666666664,4887,8553.666666666664,16.29,28.512222222222213,232230,464460,92892
Salario medio,50000,3545.0000000000005,3549.9999999999995,550,500,58145,4166.666666666667,1944.4444444444443,64256.11111111111,8145,14256.11111111111,16.29,28.51222222222222,232230,464460,92892
Salario alto,250000,16465.107,17750,1021.8119999999999,2500,287736.919,20833.333333333332,9722.222222222223,318292.47455555556,37736.918999999994,68292.47455555556,15.094767599999997,27.316989822222222,232230,464460,92892
Salario muy alto,500000,16465.107,32976.659999999996,1021.8119999999999,5000,555463.579,41666.666666666664,19444.444444444445,616574.6901111112,55463.57900000003,116574.69011111115,11.092715800000004,23.31493802222223,232230,464460,92892
